city_id,city_name,country_code,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,temp_celsius,feels_like_celsius,temp_min_celsius,temp_max_celsius,pressure_hpa,humidity_percent,sea_level_hpa,ground_level_hpa,wind_speed_mps,wind_direction_deg,wind_gust_mps,cloudiness_percent,visibility_meters,rain_1h_mm,rain_3h_mm,snow_1h_mm,snow_3h_mm,dt_unix,timezone_offset_sec,sunrise_unix,sunset_unix,extracted_at,extraction_source,dt_datetime,sunrise_datetime,sunset_datetime,extracted_at_datetime,temp_category,humidity_category,wind_strength,daylight_hours,heat_index_diff,is_raining,is_snowing,weather_severity,date,hour,day_of_week,month
1642911,Jakarta,ID,106.8451,-6.2146,801,Clouds,few clouds,02n,27.19,29.96,25.5,27.27,1013,78,1013,1009,4.63,240,,20,10000,0.0,0,0,0,1768055900,25200,1767998762,1768043606,2026-01-10T21:41:38.161146,openweathermap_api,2026-01-10 14:38:20,2026-01-09 22:46:02,2026-01-10 11:13:26,2026-01-10 21:41:38.161146,Warm,Humid,Calm,12.456666666666667,2.7699999999999996,False,False,1.78,2026-01-10,14,Saturday,January
1625822,Surabaya,ID,112.7508,-7.2492,801,Clouds,few clouds,02n,25.01,25.99,24.97,25.01,1011,93,1011,1010,4.63,280,,20,8000,0.0,0,0,0,1768055668,25200,1767997242,1768042291,2026-01-10T21:41:39.502679,openweathermap_api,2026-01-10 14:34:28,2026-01-09 22:20:42,2026-01-10 10:51:31,2026-01-10 21:41:39.502679,Warm,Humid,Calm,12.51361111111111,0.9799999999999969,False,False,1.27,2026-01-10,14,Saturday,January
1650357,Bandung,ID,107.6186,-6.9039,803,Clouds,broken clouds,04n,24.66,25.45,24.66,24.66,1014,87,1014,914,1.46,254,1.88,68,10000,0.0,0,0,0,1768055761,25200,1767998508,1768043488,2026-01-10T21:41:40.716894,openweathermap_api,2026-01-10 14:36:01,2026-01-09 22:41:48,2026-01-10 11:11:28,2026-01-10 21:41:40.716894,Warm,Humid,Calm,12.494444444444444,0.7899999999999991,False,False,1.27,2026-01-10,14,Saturday,January
1214520,Medan,ID,98.6667,3.5833,801,Clouds,few clouds,02n,25.02,26.03,25.02,25.02,1014,94,1014,1009,2.06,300,,20,8000,0.0,0,0,0,1768055866,25200,1768001680,1768044614,2026-01-10T21:41:41.948863,openweathermap_api,2026-01-10 14:37:46,2026-01-09 23:34:40,2026-01-10 11:30:14,2026-01-10 21:41:41.948863,Warm,Humid,Calm,11.926111111111112,1.0100000000000016,False,False,0.73,2026-01-10,14,Saturday,January
1627896,Semarang,ID,110.4203,-6.9932,802,Clouds,scattered clouds,03n,24.96,25.81,24.96,24.96,1011,88,1011,1002,1.54,270,,40,6000,0.0,0,0,0,1768055738,25200,1767997826,1768042825,2026-01-10T21:41:43.177952,openweathermap_api,2026-01-10 14:35:38,2026-01-09 22:30:26,2026-01-10 11:00:25,2026-01-10 21:41:43.177952,Warm,Humid,Calm,12.499722222222223,0.8499999999999979,False,False,0.95,2026-01-10,14,Saturday,January
1622786,Makassar,ID,119.4221,-5.14,802,Clouds,scattered clouds,03n,24.03,25.1,24.03,24.03,1011,100,1011,1014,2.06,100,,40,8000,0.0,0,0,0,1768055793,28800,1767995848,1768040481,2026-01-10T21:41:44.406643,openweathermap_api,2026-01-10 14:36:33,2026-01-09 21:57:28,2026-01-10 10:21:21,2026-01-10 21:41:44.406643,Warm,Humid,Calm,12.398055555555555,1.0700000000000003,False,False,0.91,2026-01-10,14,Saturday,January
1633070,Palembang,ID,104.7458,-2.9167,802,Clouds,scattered clouds,03n,26.05,26.05,26.05,26.05,1013,94,1013,1012,1.03,0,,40,10000,0.0,0,0,0,1768055401,25200,1767999589,1768043786,2026-01-10T21:41:45.633705,openweathermap_api,2026-01-10 14:30:01,2026-01-09 22:59:49,2026-01-10 11:16:26,2026-01-10 21:41:45.633705,Warm,Humid,Calm,12.276944444444444,0.0,False,False,0.83,2026-01-10,14,Saturday,January
1645528,Denpasar,ID,115.2167,-8.65,500,Rain,light rain,10n,28.81,33.04,28.81,28.81,1010,74,1010,1008,7.2,290,,40,10000,0.33,0,0,0,1768055753,28800,1767996510,1768041838,2026-01-10T21:41:47.069629,openweathermap_api,2026-01-10 14:35:53,2026-01-09 22:08:30,2026-01-10 10:43:58,2026-01-10 21:41:47.069629,Warm,Humid,Moderate,12.591111111111111,4.23,True,False,2.74,2026-01-10,14,Saturday,January
1880252,Singapore,SG,103.8501,1.2897,803,Clouds,broken clouds,04n,25.89,26.55,24.92,26.07,1014,77,1014,1013,3.6,20,,75,10000,0.0,0,0,0,1768055529,28800,1768000213,1768043593,2026-01-10T21:41:48.301040,openweathermap_api,2026-01-10 14:32:09,2026-01-09 23:10:13,2026-01-10 11:13:13,2026-01-10 21:41:48.301040,Warm,Humid,Calm,12.05,0.6600000000000001,False,False,2.02,2026-01-10,14,Saturday,January
1733046,Kuala Lumpur,MY,101.6865,3.1431,801,Clouds,few clouds,02n,27.75,30.68,27.75,27.75,1013,74,1013,1000,1.54,200,,20,10000,0.0,0,0,0,1768055944,28800,1768000912,1768043932,2026-01-10T21:41:49.629681,openweathermap_api,2026-01-10 14:39:04,2026-01-09 23:21:52,2026-01-10 11:18:52,2026-01-10 21:41:49.629681,Warm,Humid,Calm,11.95,2.9299999999999997,False,False,1.3,2026-01-10,14,Saturday,January
1609350,Bangkok,TH,100.5167,13.75,803,Clouds,broken clouds,04n,23.07,22.87,22.73,23.94,1016,55,1016,1015,0.85,119,1.69,68,10000,0.0,0,0,0,1768055730,25200,1768002243,1768043163,2026-01-10T21:41:50.876648,openweathermap_api,2026-01-10 14:35:30,2026-01-09 23:44:03,2026-01-10 11:06:03,2026-01-10 21:41:50.876648,Warm,Comfortable,Calm,11.366666666666667,-0.1999999999999993,False,False,1.94,2026-01-10,14,Saturday,January
1701668,Manila,PH,120.9822,14.6042,804,Clouds,overcast clouds,04n,25.33,26.29,24.47,26.0,1014,91,1014,1017,1.03,0,,100,10000,0.0,0,0,0,1768055549,28800,1767997418,1768038162,2026-01-10T21:41:52.197161,openweathermap_api,2026-01-10 14:32:29,2026-01-09 22:23:38,2026-01-10 09:42:42,2026-01-10 21:41:52.197161,Warm,Humid,Calm,11.317777777777778,0.9600000000000009,False,False,1.42,2026-01-10,14,Saturday,January
1566083,Ho Chi Minh City,VN,106.6667,10.75,802,Clouds,scattered clouds,03n,24.48,24.84,23.01,24.48,1014,71,1014,1014,2.57,280,,49,8000,0.0,0,0,0,1768056014,25200,1768000464,1768041990,2026-01-10T21:41:53.423494,openweathermap_api,2026-01-10 14:40:14,2026-01-09 23:14:24,2026-01-10 10:46:30,2026-01-10 21:41:53.423494,Warm,Humid,Calm,11.535,0.35999999999999943,False,False,1.64,2026-01-10,14,Saturday,January
1581130,Hanoi,VN,105.8412,21.0245,800,Clear,clear sky,01n,16.0,15.2,16.0,16.0,1024,59,1024,1023,2.27,165,3.55,10,10000,0.0,0,0,0,1768055531,25200,1768001737,1768041112,2026-01-10T21:41:54.855944,openweathermap_api,2026-01-10 14:32:11,2026-01-09 23:35:37,2026-01-10 10:31:52,2026-01-10 21:41:54.855944,Cool,Comfortable,Calm,10.9375,-0.8000000000000007,False,False,2.27,2026-01-10,14,Saturday,January
1298824,Yangon,MM,96.1561,16.8053,802,Clouds,scattered clouds,03n,25.98,25.98,25.98,25.98,1015,78,1015,1014,1.03,60,,40,6000,0.0,0,0,0,1768055501,23400,1768003607,1768043893,2026-01-10T21:41:56.068188,openweathermap_api,2026-01-10 14:31:41,2026-01-10 00:06:47,2026-01-10 11:18:13,2026-01-10 21:41:56.068188,Warm,Humid,Calm,11.190555555555555,0.0,False,False,1.14,2026-01-10,14,Saturday,January
